dataset,base_image,combo,typo,patch,stego,output_path
funsd,funsd_000.png,clean,0,0,0,generated/funsd/clean/funsd_000_clean.png
funsd,funsd_001.png,clean,0,0,0,generated/funsd/clean/funsd_001_clean.png
funsd,funsd_002.png,clean,0,0,0,generated/funsd/clean/funsd_002_clean.png
funsd,funsd_003.png,clean,0,0,0,generated/funsd/clean/funsd_003_clean.png
funsd,funsd_004.png,clean,0,0,0,generated/funsd/clean/funsd_004_clean.png
funsd,funsd_005.png,clean,0,0,0,generated/funsd/clean/funsd_005_clean.png
funsd,funsd_006.png,clean,0,0,0,generated/funsd/clean/funsd_006_clean.png
funsd,funsd_007.png,clean,0,0,0,generated/funsd/clean/funsd_007_clean.png
funsd,funsd_008.png,clean,0,0,0,generated/funsd/clean/funsd_008_clean.png
funsd,funsd_009.png,clean,0,0,0,generated/funsd/clean/funsd_009_clean.png
funsd,funsd_010.png,clean,0,0,0,generated/funsd/clean/funsd_010_clean.png
funsd,funsd_011.png,clean,0,0,0,generated/funsd/clean/funsd_011_clean.png
funsd,funsd_012.png,clean,0,0,0,generated/funsd/clean/funsd_012_clean.png
funsd,funsd_013.png,clean,0,0,0,generated/funsd/clean/funsd_013_clean.png
funsd,funsd_014.png,clean,0,0,0,generated/funsd/clean/funsd_014_clean.png
funsd,funsd_015.png,clean,0,0,0,generated/funsd/clean/funsd_015_clean.png
funsd,funsd_016.png,clean,0,0,0,generated/funsd/clean/funsd_016_clean.png
funsd,funsd_017.png,clean,0,0,0,generated/funsd/clean/funsd_017_clean.png
funsd,funsd_018.png,clean,0,0,0,generated/funsd/clean/funsd_018_clean.png
funsd,funsd_019.png,clean,0,0,0,generated/funsd/clean/funsd_019_clean.png
funsd,funsd_020.png,clean,0,0,0,generated/funsd/clean/funsd_020_clean.png
funsd,funsd_021.png,clean,0,0,0,generated/funsd/clean/funsd_021_clean.png
funsd,funsd_022.png,clean,0,0,0,generated/funsd/clean/funsd_022_clean.png
funsd,funsd_023.png,clean,0,0,0,generated/funsd/clean/funsd_023_clean.png
funsd,funsd_024.png,clean,0,0,0,generated/funsd/clean/funsd_024_clean.png
funsd,funsd_025.png,clean,0,0,0,generated/funsd/clean/funsd_025_clean.png
funsd,funsd_026.png,clean,0,0,0,generated/funsd/clean/funsd_026_clean.png
funsd,funsd_027.png,clean,0,0,0,generated/funsd/clean/funsd_027_clean.png
funsd,funsd_028.png,clean,0,0,0,generated/funsd/clean/funsd_028_clean.png
funsd,funsd_029.png,clean,0,0,0,generated/funsd/clean/funsd_029_clean.png
